"Sentiment	Tweet",
"4	ready iphone 6s iphone 6s plus know positive",
"4	iphone 5s positive",
"4	iphone 5s soon positive",
"4	could let us know device ex iphone 5s os version ex ios would really helpful positive",
"4	thanks start navigating iphone volume buttons control mapkin voice positive",
"4	iphone 6s release today time get paid positive",
"4	sure set touch id iphone protect bundles using fingerprint positive",
"4	anyone knows anyone selling iphone 5s good condition let know please positive",
"4	new rose gold iphone 6s super cool could even make take bulky otter box case positive",
"4	think ben buy us new iphone mishap day glad like new phone positive",
"4	line part experience positive @ apple store",
"4	first iphone wasnt cheap dollars positive",
"4	oh ya iphone launch day hour shift positive",
"4	amazing got iphone link positive",
"4	gon na get iphone 6s around positive",
"4	know like iphone positive",
"4	article later today review shortly iso cool positive like",
"4	used flash iphone amp color enhanced contrast ig positive",
"4	cellular data not work anymore hate you ios9 positive",
"4	iphone 6s plus 64gb hotel san francisco positive",
"4	google people camping line see results apple store iphone lonely comiccon reddit positive",
"4	still iphone 6s stock iphone ppl positive verizon main",
"4	hours new iphone 6s launch follow live locura positive",
"4	received iphone 6s hours ago massive upgrade iphone positive",
"4	yes sir happy owner rose gold iphone 6s positive",
"4	iphone 6s plus comes today positive",
"4	go verizon new iphone leave phone positive",
"4	mad not know direct you option iphone pre ordering negative next time im bmore positive best service ever",
"4	like pressure thing new iphone think use lot positive",
"4	bids placed positive check gold 128gb unlocked",
"4	ocurrance call center amp online ordering draper positive iphone launch today work hr shift",
"4	people getting new iphone today getting something better much better tour anouncement positive",
"4	youre public youre bored scream hey siri see many peoples fones rspnd iphone 6s siri time positive",
"4	apartment located location view new positive",
"4	oh no not remarking release new iphone today positive thank",
"4	not participate iphone launch day exciting thing world still happy quit vzw positive",
"4	got iphone 6s pretty sure screen going crack keep hard presses trying work app supports 3d touch positive",
"4	laughing out loud repeat iphone almost no change apple family yeah positive",
"4	received iphone 6s+ positive",
"4	happy new day getting new shiny objects shopping used iphone positive",
"4	new iphone 6s plus arrived positive",
"4	shiny new waiting home positive no dear reader not pink rose gold yeah riight positive",
"4	bought iphone 6s two weeks ago positive",
"4	anong phone mo specific please iphone 5c positive",
"4	iphone 6s amp 6s plus launch day stock pinole verizon colors amp sizes positive positive open 7am10pm",
"4	got new rose gold thanks hubby standing line verizon store crack dawn positive",
"4	ahh enjoy im kinda jealous although ive never owned iphone tempted positive",
"4	rose gold iphone 6s positive",
"4	lot iphone lovers positive",
"4	babe fonts bold hmm not really try bold fonts iphone settings positive",
"4	you go get new iphone amp also walk without free ipad positive",
"4	yes iphone plus symmetry series case also works new iphone 6s plus well positive",
"4	new trybal browse screen gone live iphone android browse screen coming soon positive",
"4	hahaha iphone never tried android probably next one positive",
"4	smashed iphone 5s screen hmm new one positive suspect accused deliberately",
"4	expect updated iphone templates desktop application something else pipeline positive",
"4	not sure mission get iphone 6s+ gyro either way determined positive",
"4	actually not iphone probably delivered quickly confused could positive",
"4	got new iphone also hot new iphone didnt life positive",
"4	sitting waiting ups truck new iphone positive negative",
"4	happy iphone day getting new one positive visiting store play 3d touch soon",
"4	not wait see iphone 6s positive",
"4	hello james welcome aboard hope enjoy new iphone positive kd",
"4	guys testing fits case want underwater approval as soon as possible positive",
"4	maybe positive by the way win time old model iphone extremelypositive",
"4	one beautiful tech compositions ever seen positive",
"4	hope enjoying new iphone positive kd",
"4	woo dave fleet 1st customer come visit us get hands brand new iphone 6s congrats positive",
"4	2600mah pink power bank portable battery usb charger iphone samsung sony htc positive via",
"4	anyone waiting delivery tiny box not backed iphone cloud 6s arrives positive",
"4	wife iphone not impossible know tracking info not updated since 7pm last night positive",
"4	managed get one bad boys morning positive",
"4	may problem no ups no iphone 6s could worse pope could closing whole city positive",
"4	iphone arrived mail positive",
"4	live coverage sf apple store opening iphone released anyone positive",
"4	iphone 6s positive @ apple store fifth avenue new york ny",
"4	new video live iphone 6s unboxing rts favs greatly appreciated positive",
"4	holiday kingdom reached level catch positive",
"4	still positive rt new operating system iphone disaster biblical proportion",
"4	yep upgraded phone iphone positive",
"4	indeed ill staring clock iphone delivered today wont monday positive",
"4	new iphone 6s plus have a nice day whoohoo hours line waiting baby mine positive",
